numero_processo
0036.033044/2023-11
0036.024611/2024-11
0036.038658/2023-81
0036.109115/2022-75
0036.005381/2024-91
0050.071690/2022-18
0036.019918/2023-10
0036.019875/2023-72
0036.078020/2022-01
0060.114123/2021-55
0036.048286/2023-00
0036.465253/2021-51
0049.003281/2023-09
0050.072218/2022-94
0036.584414/2021-12
